bowler_name,bowler_id,overs,maidens,runs,wides,wickets,no_balls,team_name,team_id,opposition_name,opposition_id,innings,match_id,initial_name,balls,0
Ted Sussum,4951412,9,1.0,31.0,1.0,1,0.0,Ley Hill CC - Sunday 1st XI,216373.0,Chelsea Nomads CC - 1st XI,196012.0,2.0,7074454,T Sussum,54.0,
Chris Morris,3846114,7,2.0,33.0,3.0,1,0.0,Ley Hill CC - 1st XI,54824.0,Watton-at-Stone CC - 1st XI,159131.0,2.0,6803484,C Morris,42.0,
N Afsar,5619299,5,1.0,36.0,3.0,1,1.0,Goodwill Wanderers CC - Friendly XI,192284.0,Ley Hill CC - Sunday 1st XI,216373.0,1.0,7074455,N Afsar,30.0,
Dave Gwynn-Costello,6227856,8,0.0,36.0,9.0,1,2.0,Ley Hill CC - 2nd XI,119465.0,West Herts CC - 6th XI,302557.0,1.0,6804671,D Gwynn-Costello,48.0,
Harry Chan,5190613,4,0.0,38.0,2.0,1,0.0,Ickleford CC - 2nd XI,58647.0,Ley Hill CC - 1st XI,54824.0,1.0,6803474,H Chan,24.0,
Alex Jackson,6057697,3,0.0,39.0,1.0,1,0.0,Ley Hill CC - Sunday 1st XI,216373.0,Soho Cricket Collective - Friendly XI,207493.0,2.0,7074449,A Jackson,18.0,
Pratham Gowda,6193970,4.0,0.0,39.0,1.0,1,0.0,Shenley Village CC - 3rd XI,66192.0,Ley Hill CC - 1st XI,54824.0,1.0,6803489,P Gowda,24.0,
Luke Bell,4399956,5,0.0,39.0,2.0,1,0.0,Ley Hill CC - Sunday 1st XI,216373.0,Chelsea Nomads CC - 1st XI,196012.0,2.0,7074454,L Bell,30.0,
Chris Morris,3846114,7,0.0,41.0,1.0,1,1.0,Ley Hill CC - 1st XI,54824.0,Ickleford CC - 2nd XI,58647.0,2.0,6803474,C Morris,42.0,
Sam Martin,4976658,6.0,0.0,42.0,0.0,1,0.0,Ley Hill CC - 2nd XI,119465.0,"Northwood Town CC, Middlesex - 4th XI",277347.0,2.0,6804656,S Martin,36.0,
Joe Yerrell,6044911,7.0,0.0,45.0,9.0,1,0.0,Ley Hill CC - 1st XI,54824.0,Flitwick CC - 3rd XI,20669.0,1.0,6803476,J Yerrell,42.0,
Karthik X,,5,0.0,48.0,0.0,1,2.0,Chesham Bois CC - Friendly XI,39794.0,Ley Hill CC - Sunday 1st XI,216373.0,1.0,7074453,K X,30.0,
Charlie Ward,4371511,9.4,1.0,48.0,3.0,1,1.0,Flitwick CC - 3rd XI,20669.0,Ley Hill CC - 1st XI,54824.0,2.0,6803476,C Ward,58.0,
J Fardos,,9,0.0,62.0,2.0,1,1.0,Chelsea Nomads CC - 1st XI,196012.0,Ley Hill CC - Sunday 1st XI,216373.0,1.0,7074454,J Fardos,54.0,
Scot Crouch,852198,10,0.0,106.0,1.0,1,0.0,Ickleford CC - 2nd XI,58647.0,Ley Hill CC - 1st XI,54824.0,1.0,6803474,S Crouch,60.0,
Luke Bell,4399956,1,0.0,0.0,0.0,0,0.0,Ley Hill CC - 1st XI,54824.0,Shenley Village CC - 3rd XI,66192.0,2.0,6803489,L Bell,6.0,
Justin Hutchins,3570739,4,0.0,0.0,0.0,0,0.0,Ley Hill CC - 2nd XI,119465.0,Harpenden CC - 6th XI,116317.0,1.0,6804665,J Hutchins,24.0,
