position,batsman_name,batsman_id,how_out,fielder_name,fielder_id,bowler_name,bowler_id,runs,fours,sixes,balls,team_name,team_id,opposition_name,opposition_id,innings,match_id,not_out,initial_name
3,Raheel Khan,5402781,b,,,Ben Connolly,5894400,7,1,0,17,Ley Hill CC - 1st XI,54824,Watton-at-Stone CC - 1st XI,159131,1,6803484,0.0,R Khan
8,Asad Issa,4173227,lbw,,,Edward Pike,6676091,7,1,0,19,Chelsea Nomads CC - 1st XI,196012,Ley Hill CC - Sunday 1st XI,216373,2,7074454,0.0,A Issa
10,F Zakhel,,not out,,,,,6,0,1,1,Chelsea Nomads CC - 1st XI,196012,Ley Hill CC - Sunday 1st XI,216373,2,7074454,1.0,F Zakhel
8,Dan March,4733831,b,,,Paul Green,1101452,6,1,0,6,Soho Cricket Collective - Friendly XI,207493,Ley Hill CC - Sunday 1st XI,216373,2,7074449,0.0,D March
10,John Hirst,5347249,b,,,Paul Green,1101452,6,1,0,7,Soho Cricket Collective - Friendly XI,207493,Ley Hill CC - Sunday 1st XI,216373,2,7074449,0.0,J Hirst
11,Scot Crouch,852198,not out,,,,,6,0,0,9,Ickleford CC - 2nd XI,58647,Ley Hill CC - 1st XI,54824,2,6803474,1.0,S Crouch
9,Jason Twist,5158958,ct,Ben Woodbridge,1686030,Raheel Khan,5402781,6,1,0,10,Flitwick CC - 3rd XI,20669,Ley Hill CC - 1st XI,54824,1,6803476,0.0,J Twist
3,Vaibhav X,,ct,Joe Foster,6010486,Joe Foster,6010486,6,1,0,10,Chesham Bois CC - Friendly XI,39794,Ley Hill CC - Sunday 1st XI,216373,2,7074453,0.0,V X
4,Ted Sussum,4951412,ct,Unsure,,F Zakhel,,6,1,0,11,Ley Hill CC - Sunday 1st XI,216373,Chelsea Nomads CC - 1st XI,196012,1,7074454,0.0,T Sussum
8,Sahil X,,b,,,Ted Sussum,4951412,6,1,0,15,Chesham Bois CC - Friendly XI,39794,Ley Hill CC - Sunday 1st XI,216373,2,7074453,0.0,S X
1,M Price,,run out,Ted Sussum,4951412,,,6,0,0,23,Soho Cricket Collective - Friendly XI,207493,Ley Hill CC - Sunday 1st XI,216373,2,7074449,0.0,M Price
4,Mohamed nusly Mohamed nijam,6693580,b,,,Jon Humphreys,4944051,6,1,0,23,West Herts CC - 6th XI,302557,Ley Hill CC - 2nd XI,119465,1,6804671,0.0,MnM nijam
3,Stuart Lang,5779730,ct,Wayne Davies,4446838,Viral Bhavsar,5974971,5,0,0,0,Harpenden CC - 6th XI,116317,Ley Hill CC - 2nd XI,119465,1,6804665,0.0,S Lang
10,Kamil Pervaiz,5270890,not out,,,,,5,1,0,2,West Herts CC - 6th XI,302557,Ley Hill CC - 2nd XI,119465,1,6804671,1.0,K Pervaiz
8,Alastair Rowe,4952492,not out,,,,,5,1,0,4,Ley Hill CC - 2nd XI,119465,Berkhamsted CC - Saturday 4th XI,76555,2,6804661,1.0,A Rowe
8,Alastair Rowe,4952492,not out,,,,,5,1,0,5,Ley Hill CC - Sunday 1st XI,216373,Chelsea Nomads CC - 1st XI,196012,1,7074454,1.0,A Rowe
9,Chris Morris,3846114,ct,Richard Peareth,5335234,Thomas Broughton,6595168,5,1,0,6,Ley Hill CC - 1st XI,54824,Ickleford CC - 2nd XI,58647,1,6803474,0.0,C Morris
5,Raheel Khan,5402781,ct,A Ameer,6373509,N Afsar,5619299,5,1,0,6,Ley Hill CC - Sunday 1st XI,216373,Goodwill Wanderers CC - Friendly XI,192284,1,7074455,0.0,R Khan
10,S Patel,6682067,ct,Wayne Davies,4446838,Raheel Khan,5402781,5,1,0,6,Goodwill Wanderers CC - Friendly XI,192284,Ley Hill CC - Sunday 1st XI,216373,2,7074455,0.0,S Patel
1,James Clarke,4096814,b,,,Luke Bell,4399956,5,1,0,15,Berkhamsted CC - Saturday 4th XI,76555,Ley Hill CC - 2nd XI,119465,1,6804661,0.0,J Clarke
